about : 161次
步骤一、浏览语句，识别动词和代词含义 : 5次
[结构分析] : 5次
步骤二、浏览语句，断句 : 5次
1、，and原则（用来区分并列句，句子中的and, : 5次
socratic(苏格拉底) : 5次
while, : 5次
when等标志词区分主句和从句） : 5次
[翻译润色] : 5次
步骤三、单句翻译，准确排序 : 5次
[参考译文] : 5次
receptors : 5次
negotiate : 5次
doctor : 4次
helping : 4次
mind. : 4次
not, : 4次
examined : 4次
perceived : 4次
frequent : 4次
feeling : 4次
promotes : 4次
primarily : 4次
central : 4次
[b]in : 4次
airports : 4次
massive : 4次
egypt : 4次
reminder : 4次
process. : 4次
airline : 4次
prices, : 4次
lines : 4次
rushing : 4次
this. : 4次
wants : 4次
anywhere : 4次
checks. : 4次
reasonable : 4次
privacy : 4次
protection. : 4次
contributes : 4次
para. : 4次
stuck : 4次
world's : 4次
bulk : 4次
telescopes : 4次
obtain : 4次
images : 4次
controversy : 4次
forgot : 4次
limit : 4次
appreciation : 4次
ideal : 4次
opposed : 4次
partly : 4次
lose : 4次
f. : 4次
kennedy : 4次
country’s : 4次
result, : 4次
referring : 4次
century. : 4次
western : 4次
unemployment : 4次
well-being : 4次
engagement : 4次
equality : 4次
regarded : 4次
enough. : 4次
depend : 4次
paragraphs, : 4次
seeking : 4次
mcdonnell’s : 4次
supporters : 4次
representative : 4次
campaign : 4次
struggle : 4次
refused : 4次
comment : 4次
independently : 4次
correctly : 4次
pages : 4次
pickwick : 4次
secured : 4次
characteristic : 4次
illustrate : 4次
expressed : 4次
reporter : 4次
office : 4次
12 : 4次
continuing : 4次
foreseeable : 4次
technological : 4次
graddol : 4次
stable : 4次
generation : 4次
kingdom : 4次
counterparts : 4次
french : 4次
strategic : 4次
email : 4次
choice : 4次
friends, : 4次
commonly : 4次
14 : 4次
period : 4次
regard : 4次
[c]in : 4次
[b]until : 4次
decided : 4次
(and : 4次
six : 4次
months : 4次
knows : 4次
ethical : 4次
“we : 4次
enforcement : 4次
relies : 4次
pressure. : 4次
perfect : 4次
character. : 4次
round : 4次
threats : 4次
country. : 4次
ago : 4次
rescue : 4次
green : 4次
more, : 4次
concept : 4次
likewise : 4次
democrats : 4次
infrastructure : 4次
alone, : 4次
grown : 4次
avoiding : 4次
politics. : 4次
opposing : 4次
britain. : 4次
“there : 4次
causes : 4次
consideration : 4次
ruled : 4次
contributed : 4次
campaigns : 4次
csr. : 4次
banking : 4次
effect, : 4次
policies. : 4次
demonstrated : 4次
[al : 4次
cases : 4次
stories : 4次
constraints : 4次
sales : 4次
you're : 4次
obsessed : 4次
luxury : 4次
doesn't : 4次
changes. : 4次
hand : 4次
confidence : 4次
professionals : 4次
efficient : 4次
style : 4次
feedback : 4次
there’s : 4次
another, : 4次
isn’t : 4次
standard : 4次
mentally : 4次
broken : 4次
leaves : 4次
troubles : 4次
are. : 4次
problems, : 4次
situations : 4次
suppose : 4次
briefly : 4次
showing : 4次
investigation : 4次
unknown : 4次
【参考范文】 : 4次
opens : 4次
watching : 4次
football : 4次
attached : 4次
younger : 4次
denying : 4次
rational : 4次
educate : 4次
emphasis : 4次
study, : 4次
academy : 4次
genetically : 4次
population. : 4次
concluded : 4次
monarchs : 4次
spirit : 4次
also, : 4次
respected : 4次
economists : 4次
aristocratic : 4次
survive : 4次
balance : 4次
warrant : 4次
argues, : 4次
implications : 4次
to, : 4次
requirement : 4次
though, : 4次
new, : 4次
novel : 4次
applications : 4次
21st : 4次
establishment : 4次
suspects’ : 4次
indicate : 4次
checks : 4次
process, : 4次
reviewing : 4次
internal : 4次
sbore : 4次
external : 4次
motivated : 4次
application : 4次
join : 4次
welcome : 4次
expert : 4次
noted : 4次
analyze : 4次
science’s : 4次
weakness : 4次
projects. : 4次
onto : 4次
dearth : 4次
acceptance : 4次
industrial : 4次
sorting : 4次
convincing : 4次
meanings : 4次
explicit : 4次
instance, : 4次
speech : 4次
specific : 4次
relation : 4次
(43) : 4次
(44) : 4次
implicit : 4次
together, : 4次
differ : 4次
links : 4次
hundred : 4次
traditions : 4次
peculiar : 4次
pattern : 4次
south : 4次
small, : 4次
host : 4次
club : 4次
beautiful : 4次
yours : 4次
indeed, : 4次
playing : 4次
ⅰ : 4次
systematically : 4次
keeps : 4次
importantly, : 4次
resistance : 4次
ⅱ : 4次
concerned : 4次
benefits. : 4次
generous : 4次
financially : 4次
payments : 4次
receives : 4次
availability : 4次
urge : 4次
three-year : 4次
debt : 4次
exam : 4次
non-lawyers : 4次
shares : 4次
tuition : 4次
profession. : 4次
physics : 4次
prize : 4次
awards : 4次
benefactors : 4次
succeeded : 4次
science. : 4次
fund : 4次
per : 4次
ignored : 4次
founders : 4次
system. : 4次
joint : 4次
actions : 4次
supports : 4次
century, : 4次
scholars : 4次
affairs : 4次
expansion : 4次
abroad : 4次
produced : 4次
content : 4次
deprived : 4次
replaced : 4次
enthusiasm : 4次
1, : 4次
technologies : 4次
supportive : 4次
careful : 4次
sample : 4次
sites. : 4次
dramatically : 4次
methods : 4次
ground : 4次
locate : 4次
searching : 4次
dominated : 4次
palace : 4次
remains : 4次
reactions : 4次
beethoven’s : 4次
revolutionary : 4次
prevailing : 4次
courageous : 4次
volume : 4次
disorders : 4次
inevitable, : 4次
renders : 4次
details : 4次
上下文语义和名词辨析 : 4次
condition : 4次
advantages : 4次
rapid : 4次
valuable : 4次
dr : 4次
truth : 4次
consideration. : 4次
30 : 4次
inspired : 4次
labels : 4次
offering : 4次
harmful : 4次
need, : 4次
garments : 4次
leads : 4次
advertising : 4次
millions : 4次
technology, : 4次
considerable : 4次
knowledgeable : 4次
existence : 4次
humans, : 4次
scope : 4次
rise. : 4次
arizona’s : 4次
provisions : 4次
constitutional : 4次
ones. : 4次
deliberately : 4次
gaps. : 4次
radical : 4次
numbers : 4次
innovations : 4次
percentage : 4次
creating : 4次
latter : 4次
【答案】d : 4次
recently, : 4次
topic : 4次
convey : 4次
dream. : 4次
…, : 4次
rage : 4次
safe : 4次
fitting : 4次
page : 4次
behavior. : 4次
imitate : 4次
occurs : 4次
apparently : 4次
raised : 4次
entergy’s : 4次
reviews : 4次
fulfill : 4次
suit : 4次
throughout : 4次
characterized : 4次
jimmy : 4次
way. : 4次
increases : 4次
prudent : 4次
seldom : 4次
networked : 4次
amazing : 4次
superfluous : 4次
goods : 4次
pyramid : 4次
downloading : 4次
entertaining : 4次
manner : 4次
cd : 4次
players. : 4次
medium : 4次
justification : 4次
2,000 : 4次
resistant : 4次
with, : 4次
results. : 4次
____, : 4次
_____ : 4次
philharmonic : 4次
director : 4次
classical-music : 4次
appointment : 4次
gilbert’s : 4次
conductor : 4次
description : 4次
concertgoers : 4次
reply : 4次
artistic : 4次
expanding : 4次
performances. : 4次
straight : 4次
talking : 4次
plans : 4次
guide : 4次
sold : 4次
began : 4次
hotels : 4次
user : 4次
magazine : 4次
concluding : 4次
parenthood : 4次
hugely : 4次
there, : 4次
piece : 4次
bit : 4次
moms : 4次
satisfied : 4次
conveyed : 4次
fewer : 4次
degrees : 4次
rose : 4次
societies : 4次
master : 4次
believed : 4次
myself : 4次
thing, : 4次
chatting : 4次
far-reaching : 4次
council : 4次
大8家 : 4次
大14家 : 4次
journalism : 4次
game : 4次
journalistic : 4次
assets. : 4次
initial : 4次
interpersonal : 4次
people's : 4次
losses : 4次
ministers : 4次
stock : 4次
large, : 4次
customer : 4次
creatures : 4次
prey : 4次
words. : 4次
hot : 4次
opinion, : 4次
happened : 4次
relaxing : 4次
j. : 4次
paternity : 4次
ancestry : 4次
database : 4次
depending : 4次
ptk : 4次
skeptical : 4次
ancestors : 4次
performance. : 4次
governments : 4次
intellectuals : 4次
englanders : 4次
carriers : 4次
superstitions : 4次
account : 4次
enjoyed : 4次
spencer : 4次
anthropology. : 4次
franz : 4次
greatly : 4次
possible, : 4次
account. : 4次
forming : 4次
know, : 4次
vividly : 4次
this: : 4次
minimum : 4次
bad. : 4次
west, : 4次
vulnerable : 4次
that. : 4次
open-access : 4次
publication. : 4次
washington, : 4次
slaves. : 4次
nation’s : 4次
inflating : 4次
black : 4次
legislative : 4次
是大家网原创出品 : 4次
fresh : 4次
expressing : 4次
this, : 4次
happiness, : 4次
looked : 4次
church, : 4次
superstars : 4次
poets : 4次
security. : 4次
leakage. : 4次
success！only : 4次
“endless : 4次
popular : 4次
emergence : 4次
sight-seeing : 4次
cash : 4次
subsidy : 4次
cries : 4次
seats : 4次
ticket : 4次
shame : 4次
stratford’s : 4次
clientele. : 4次
actors : 4次
prehistoric : 4次
slow-growing : 4次
fishery : 4次
caught, : 4次
ocean : 4次
worshippers : 4次
souls : 4次
someday : 4次
meat : 4次
messages : 4次
joy : 4次
expressive : 4次
casino, : 4次
williams’s : 4次
构成help : 4次
,turn : 4次
文章解析：根据中心统一原则确定， : 4次
翻译步骤分析 : 4次
warming : 4次
cartwright : 4次
premiers : 4次
health-care : 4次
“national” : 4次
hugs : 3次
embrace : 3次
hugging : 3次
psychology : 3次
then, : 3次
combined : 3次
travel : 3次
resulted : 3次
screening : 3次
enroll : 3次
passengers : 3次
pass : 3次
ways. : 3次
to____ : 3次
strengthen : 3次
necessity : 3次
emphasize : 3次
restrictions : 3次
unexpected : 3次
5) : 3次
dramatic : 3次
hawaiians : 3次
queen : 3次
protests : 3次
construction : 3次
thirty : 3次
ocean, : 3次
peak : 3次
sacred : 3次
painful : 3次
nation. : 3次
blame : 3次
eagerness : 3次
history, : 3次
roots : 3次
horizon : 3次
ban : 3次
homes. : 3次
compromises : 3次
tmt : 3次
removed : 3次
times. : 3次
deemed : 3次
measures, : 3次
question. : 3次
improvement : 3次
focusing : 3次
40 : 3次
health, : 3次
measured : 3次
recovery : 3次
indicators : 3次
decline. : 3次
success, : 3次
different. : 3次
sharp : 3次
growth. : 3次
cited : 3次
excludes : 3次
handle : 3次
inadequate : 3次
figures, : 3次
window : 3次
holding : 3次
duties. : 3次
concrete : 3次
benefits, : 3次
arranging : 3次
sound : 3次
court, : 3次
type : 3次
wealth. : 3次
corruption. : 3次
gains : 3次
justified : 3次
inspire : 3次
skeptical. : 3次
order. : 3次
reorganize : 3次
filling : 3次
placed. : 3次
sketches : 3次
pen : 3次
artist : 3次
insisted : 3次
novel, : 3次
capture : 3次
father's : 3次
eye : 3次
odd, : 3次
dicken's : 3次
mother : 3次
family. : 3次
poverty : 3次
formed : 3次
→45. : 3次
diminish : 3次
market, : 3次
presented : 3次
gaining : 3次
encouragement : 3次
languages. : 3次
relative : 3次
strength : 3次
grows : 3次
(49)the : 3次
providers : 3次
earns : 3次
invisible : 3次
operating : 3次
practical : 3次
james : 3次
australia : 3次
tourist : 3次
attraction : 3次
girl : 3次
days, : 3次
7 : 3次
13 : 3次
retains : 3次
17 : 3次
marriage, : 3次
18 : 3次
prejudice : 3次
wait : 3次
months. : 3次
[d]in : 3次
absolute : 3次
crime : 3次
employ : 3次
couple : 3次
impinging : 3次
health. : 3次
punishment : 3次
enforcement. : 3次
regarding : 3次
states: : 3次
notions : 3次
industry. : 3次
of. : 3次
faith : 3次
conditions. : 3次
factors. : 3次
[a]a : 3次
towns : 3次
support. : 3次
constant : 3次
none : 3次
parties : 3次
development. : 3次
sensible : 3次
london : 3次
provinces. : 3次
but, : 3次
biased : 3次
respects : 3次
ruin : 3次
areas. : 3次
landscapes : 3次
spain : 3次
britain’s : 3次
reflected : 3次
achievements : 3次
housing : 3次
engage : 3次
largest : 3次
,this : 3次
attempts : 3次
halo : 3次
lenient : 3次
influence, : 3次
receive : 3次
20% : 3次
win : 3次
statement : 3次
winning : 3次
consumers. : 3次
? : 3次
circulation : 3次
eliminate : 3次
business, : 3次
said. : 3次
legacy : 3次
generate : 3次
twice : 3次
we're : 3次
meant : 3次
printing : 3次
challenges. : 3次
forever : 3次
sure, : 3次
perceive : 3次
seriously : 3次
hair : 3次
stylist : 3次
uniform : 3次
clothes : 3次
sun : 3次
sympathy : 3次
unconditional : 3次
solving : 3次
catching : 3次
child. : 3次
ordinary : 3次
friend : 3次
sense, : 3次
[d]as : 3次
_17_ : 3次
companies’ : 3次
consumer : 3次
outline : 3次
library。 : 3次
satisfying : 3次
card : 3次
son : 3次
finish : 3次
objective : 3次
demonstrate : 3次
acknowledged : 3次
appropriate : 3次
precious : 3次
adolescents : 3次
perpetual : 3次
actions。 : 3次
vital : 3次
excellent : 3次
promising : 3次
sciences, : 3次
conducted : 3次
exists : 3次
team : 3次
environments : 3次
findings : 3次
insignificant : 3次
meanwhile : 3次
furthermore : 3次
chances : 3次
dare : 3次
embarrassing : 3次
republican : 3次
down. : 3次
seeing : 3次
wall : 3次
apparent : 3次
non-controversial : 3次
undoubtedly : 3次
privileges : 3次
thomas : 3次
inherited : 3次
wealthy : 3次
monarchies : 3次
(or : 3次
royals : 3次
preserved : 3次
pretty : 3次
heads : 3次
rivals : 3次
nobility : 3次
“have : 3次
carlos, : 3次
succeed : 3次
suspects : 3次
rapidly : 3次
vast : 3次
amendment : 3次
steps : 3次
normal : 3次
constitution’s : 3次
stating : 3次
cases, : 3次
urgent : 3次
circumstances, : 3次
whole. : 3次
comparable : 3次
quoted : 3次
constitution. : 3次
mcnutt : 3次
announced : 3次
findings. : 3次
writes : 3次
reviewers. : 3次
panel : 3次
giovanni : 3次
harvard : 3次
group. : 3次
lasting : 3次
hopefully : 3次
weak : 3次
errors : 3次
research, : 3次
line, : 3次
reviewers : 3次
‘the : 3次
strengthening : 3次
peers. : 3次
screen : 3次
daughter : 3次
beings : 3次
guilty : 3次
,and : 3次
rebekah : 3次
brooks, : 3次
brooks : 3次
happens : 3次
editing : 3次
reader : 3次
quest : 3次
questions, : 3次
practices. : 3次
personality : 3次
values : 3次
rigid : 3次
importance. : 3次
regulations. : 3次
identifying : 3次
relationships : 3次
(41) : 3次
writer : 3次
(42) : 3次
conceived : 3次
inevitably : 3次
overlapping : 3次
texts : 3次
dimensions : 3次
agenda : 3次
advanced : 3次
useful : 3次
component : 3次
train : 3次
clues : 3次
later, : 3次
sentence, : 3次
speak : 3次
knowledge, : 3次
nation : 3次
varied : 3次
colonial : 3次
geographic : 3次
caused : 3次
ways, : 3次
colonies : 3次
barely : 3次
died : 3次
vessels : 3次
trees : 3次
abundant : 3次
members. : 3次
samples : 3次
ended : 3次
authorized : 3次
marked : 3次
wider : 3次
rather, : 3次
sincerely, : 3次
forgetting : 3次
for. : 3次
typically : 3次
issue, : 3次
public, : 3次
communities : 3次
nervous : 3次
system, : 3次
do, : 3次
expand : 3次
routine : 3次
moreover : 3次
register : 3次
weekly : 3次
spent : 3次
socially : 3次
controlling : 3次
feed : 3次
welfare : 3次
disaster : 3次
allowance : 3次
agree? : 3次
hostility : 3次
journalism. : 3次
clients : 3次
subject, : 3次
schools : 3次
preparation : 3次
law-school : 3次
debts. : 3次
implement : 3次
guild-like : 3次
fees : 3次
insist : 3次
bachelor’s : 3次
solutions : 3次
indeed : 3次
prize, : 3次
funded : 3次
scientists. : 3次
whom : 3次
living, : 3次
complain : 3次
surely : 3次
elsewhere, : 3次
symbol : 3次
legitimacy : 3次
congressional : 3次
aaas : 3次
universities, : 3次
excellence : 3次
scholarship : 3次
prominent : 3次
stresses : 3次
students’ : 3次
teachers : 3次
bear : 3次
making, : 3次
gets : 3次
matter: : 3次
illiberal : 3次
universities. : 3次
professors : 3次
displays : 3次
implies : 3次
cautious : 3次
matter” : 3次
england. : 3次
located : 3次
fell : 3次
valley : 3次
mexico : 3次
areas, : 3次
hundreds : 3次
systematic : 3次
buried : 3次
tiny : 3次
selected : 3次
purely : 3次
articulate : 3次
freethinking : 3次
one, : 3次
understanding, : 3次
works. : 3次
compositions : 3次
composers : 3次
beethoven : 3次
word. : 3次
advocated : 3次
march : 3次
necessary. : 3次
上下文语义和固定搭配 : 3次
【答案】[g] : 3次
48. : 3次
intensity : 3次
49) : 3次
50. : 3次
foremost, : 3次
opinions : 3次
advice : 3次
smile : 3次
guided : 3次
filial : 3次
glance : 3次
judgments : 3次
simonsohn : 3次
applicant : 3次
11 : 3次
numerous : 3次
candidate : 3次
points. : 3次
drop : 3次
2006 : 3次
version : 3次
assistant : 3次
date : 3次
feverish : 3次
overdressed, : 3次
wardrobe : 3次
items : 3次
dirt-cheap : 3次
accustomed : 3次
strain : 3次
world’s : 3次
waste. : 3次
named : 3次
curb : 3次
insensitivity : 3次
fashion. : 3次
shut : 3次
pricing : 3次
budgets : 3次
aim : 3次
weeks : 3次
illustrated : 3次
behavioural : 3次
oblige : 3次
promised : 3次
unclear : 3次
alone. : 3次
wholly : 3次
to: : 3次
e-commerce : 3次
gained : 3次
tempted : 3次
conversation : 3次
project : 3次
today's : 3次
fiction : 3次
long-term : 3次
planet, : 3次
themselves. : 3次
pessimistic : 3次
prospects : 3次
problem. : 3次
controversial : 3次
washington : 3次
attempted : 3次
cooperate : 3次
objection : 3次
defense : 3次
coordination : 3次
article, : 3次
inside : 3次
worldwide : 3次
resource : 3次
scientist : 3次
tackle : 3次
community’s : 3次
adequate : 3次
aimed : 3次
category : 3次
endeavors : 3次
integrate : 3次
security, : 3次
clear, : 3次
societies. : 3次
scientists, : 3次
behavioral : 3次
clean : 3次
4% : 3次
garden : 3次
exist : 3次
intrinsic : 3次
psychological : 3次
conditions, : 3次
plants : 3次
animals. : 3次
d。 : 3次
【答案】b : 3次
【答案】a : 3次
【解析】此题考查考生对文章细节信息的把握能力 : 3次
house, : 3次
pleased : 3次
there. : 3次
graduation : 3次
eager : 3次
fairly : 3次
recognize : 3次
apart : 3次
closely : 3次
rooted : 3次
doubts : 3次
good-drinking, : 3次
antismoking : 3次
habits, : 3次
please : 3次
applying : 3次
filled : 3次
exert : 3次
networks : 3次
unconsciously : 3次
breaks : 3次
emerges : 3次
adequately : 3次
evade : 3次
realizing : 3次
energy : 3次
strict : 3次
vermont’s : 3次
plant : 3次
serious : 3次
statements : 3次
claiming : 3次
regulatory : 3次
rules. : 3次
applied : 3次
acquire : 3次
purchase : 3次
technical : 3次
goals. : 3次
observed : 3次
ambiguous : 3次
experience. : 3次
experience, : 3次
discovery. : 3次
finally, : 3次
credible : 3次
aspect : 3次
telling : 3次
appreciated. : 3次
philosopher : 3次
innovation. : 3次
hoffa : 3次
servant. : 3次
teamsters : 3次
unions. : 3次
sports : 3次
achievers : 3次
thinner : 3次
production, : 3次
literature, : 3次
tap : 3次
(45) : 3次
definition : 3次
enlightening : 3次
outcome : 3次
50 : 3次
universal : 3次
phenomena : 3次
traced : 3次
enable : 3次
evolutionary : 3次
universality : 3次
noam : 3次
sufficient : 3次
language, : 3次
examining : 3次
neither : 3次
accessible : 3次
22.【答案】[b] : 3次
biggest : 3次
communicating : 3次
life。 : 3次
discuss : 3次
achieved : 3次
sad : 3次
volunteers : 3次
comparatively : 3次
unpretentious : 3次
formidable : 3次
orchestra : 3次
impressive : 3次
devoted : 3次
missing : 3次
attention, : 3次
vague : 3次
boards : 3次
turbulent : 3次
candidates : 3次
partner : 3次
finally : 3次
post : 3次
acceptable : 3次
safer : 3次
expectation : 3次
career : 3次
net : 3次
space : 3次
traffic : 3次
consumers, : 3次
putting : 3次
target : 3次
toyota : 3次
enthusiastic : 3次
competition. : 3次
alternatives : 3次
surprise : 3次
jennifer : 3次
rearing : 3次
features : 3次
equivalent : 3次
compare : 3次
unhappy : 3次
childless : 3次
misery : 3次
imagine : 3次
aren’t : 3次
hoped : 3次
disciplines : 3次
menand : 3次
regular : 3次
entered : 3次
design : 3次
menand, : 3次
producers : 3次
dose : 3次
theme : 3次
allen : 3次
allen’s : 3次
erroneous : 3次
action : 3次
question: : 3次
determined : 3次
ourselves. : 3次
upside : 3次
array : 3次
possible. : 3次
aroused : 3次
干扰项：[b] : 3次
temporary : 3次
…. : 3次
writing, : 3次
movie : 3次
prompt : 3次
unpleasant : 3次
measures. : 3次
hawthorne : 3次
lighting : 3次
output : 3次
levels : 3次
days. : 3次
high-quality : 3次
granted : 3次
authors : 3次
brains : 3次
death : 3次
critic : 3次
amateur : 3次
journalists. : 3次
appears : 3次
ago. : 3次
1998 : 3次
unusual : 3次
complies : 3次
derives : 3次
fits : 3次
manipulating : 3次
variables : 3次
relating : 3次
intuitive : 3次
helped : 3次
"these : 3次
inclination : 3次
functioning : 3次
difficult. : 3次
encounter : 3次
judgment : 3次
iasb : 3次
overstate : 3次
again, : 3次
evaluation : 3次
hold : 3次
variations : 3次
definitely : 3次
intelligence. : 3次
intricacies : 3次
wholesaling : 3次
reveals : 3次
institutional : 3次
added : 3次
categories : 3次
beginning : 3次
shaky : 3次
right, : 3次
native : 3次
themes : 3次
survival : 3次
command : 3次
opened : 3次
fruit : 3次
burn : 3次
dimmer : 3次
puts : 3次
lest : 3次
comfort : 3次
familiar : 3次
wordsworth : 3次
consciously : 3次
inherently : 3次
worn : 3次
pathways : 3次
bypass : 3次
dawna : 3次
" : 3次
modes : 3次
lie : 3次
tracks : 3次
emphasizes : 3次
kinship : 3次
processes : 3次
highest : 3次
poorly : 3次
suspect : 3次
improved, : 3次
necessary, : 3次
examination : 3次
puritans : 3次
understood : 3次
massachusetts : 3次
reaching : 3次
dane : 3次
sermons : 3次
puzzled : 3次
herbert : 3次
lewis : 3次
henry : 3次
morgan : 3次
particularism : 3次
anthropology, : 3次
peoples : 3次
durkheim : 3次
functioned : 3次
adulthood. : 3次
families, : 3次
property, : 3次
integrated : 3次
information, : 3次
diffused : 3次
separately : 3次
deliberate : 3次
by-product : 3次
directive : 3次
ability. : 3次
ultimate : 3次
training. : 3次
they’re : 3次
sorry : 3次
soon. : 3次
front : 3次
dreams. : 3次
face. : 3次
surprised : 3次
activity, : 3次
clearly, : 3次
approve : 3次
chemicals : 3次
married : 3次
college. : 3次
coping : 3次
men. : 3次
laboratory : 3次
describing : 3次
have, : 3次
changing. : 3次
reports. : 3次
publishers. : 3次
center : 3次
military : 3次
founding : 3次
fathers : 3次
slavery. : 3次
war, : 3次
past. : 3次
situations. : 3次
concentrate : 3次
ideas. : 3次
side : 3次
compensating : 3次
detect : 3次
reasoning. : 3次
injurious : 3次
dark : 3次
aid : 3次
大18家 : 3次
80 : 3次
talent : 3次
adult : 3次
savant’s : 3次
skill : 3次
outlive : 3次
lots : 3次
wandering : 3次
goalkeeper : 3次
proportions : 3次
low-cost : 3次
600,000 : 3次
million. : 3次
vary, : 3次
analysts : 3次
decade. : 3次
street. : 3次
globe : 3次
chris : 3次
reidy : 3次
difference,” : 3次
homogenizing : 3次
intimate : 3次
shops : 3次
altogether : 3次
elevating : 3次
reports : 3次
indices : 3次
fans : 3次
“some : 3次
assimilative : 3次
sights. : 3次
worthy : 3次
residents : 3次
penny : 3次
castle : 3次
playgoing. : 3次
playgoers, : 3次
pouring : 3次
company. : 3次
nevertheless : 3次
wing : 3次
cocktail : 3次
lounge. : 3次
hilton : 3次
decorated : 3次
hamlet : 3次
hamburger : 3次
bars, : 3次
lear : 3次
lounge, : 3次
banquo : 3次
banqueting : 3次
room, : 3次
forth, : 3次
subsidy. : 3次
occupied : 3次
a.m. : 3次
branches : 3次
oceans. : 3次
conservative. : 3次
sizes. : 3次
baseline, : 3次
suffered : 3次
weirdest : 3次
emotions, : 3次
earliest : 3次
art, : 3次
suited : 3次
joy. : 3次
depicting : 3次
happiness? : 3次
advertising. : 3次
eras : 3次
reminders : 3次
worked : 3次
literacy, : 3次
reminded : 3次
worms. : 3次
pain. : 3次
bitter : 3次
clove : 3次
cigarette, : 3次
somehow, : 3次
distasteful : 3次
williams, : 3次
1997 : 3次
quit. : 3次
socratic : 3次
judge, : 3次
___. : 3次
wasn't : 3次
forget---what : 3次
forgetting---is : 3次
or等并列连词要首先区分） : 3次
2、which/that原则（用来区分主句和从句，句子中的which, : 3次
salaries : 3次
behaviour : 3次
de : 3次
capuchin : 3次
cucumber. : 3次
grape : 3次
researcher : 3次
mcwhorter : 3次
provincial : 3次
ottawa : 3次
costs. : 3次
pharmaceutical : 3次
list, : 3次
warm : 2次
sick : 2次
cold, : 2次
32 : 2次
effect. : 2次
"is : 2次
release : 2次
brain, : 2次
[d]keep : 2次
[d]exposed : 2次
[b]generate : 2次
[c]moderate : 2次
[a]in : 2次
[c]though : 2次
lines. : 2次
tolerate : 2次
crash : 2次
flight : 2次
wasted : 2次
lives, : 2次
enhanced : 2次
waits : 2次
obvious. : 2次
anticipate : 2次
travel, : 2次
lanes. : 2次
carry-on : 2次
airlines : 2次
strongly : 2次
program. : 2次
tsa. : 2次
eligible : 2次
involved. : 2次
upcoming : 2次
finance : 2次
underused : 2次
lanes : 2次
unnecessary : 2次
tolerance : 2次
efficiency : 2次
is____ : 2次
unreasonable : 2次
hawaii's : 2次
star : 2次
sadly, : 2次
humanity's : 2次
kea, : 2次
heavens. : 2次
rested : 2次
kea's : 2次
dense : 2次
atmosphere, : 2次
opposition : 2次
sovereign : 2次
belongs : 2次
fragile : 2次
curiosity : 2次
answering : 2次
kea. : 2次
island : 2次
regrettable : 2次
features. : 2次
reminds : 2次
fulfilling : 2次
of____ : 2次
approval. : 2次
flawed : 2次
miss : 2次
uk’s : 2次
163 : 2次
ensuring : 2次
citizens. : 2次
criteria : 2次
assessment : 2次
consistent : 2次
themes. : 2次
2008 : 2次
continued : 2次
isn't : 2次
countries. : 2次
improvements : 2次
well-being. : 2次
hit : 2次
progress. : 2次
that____ : 2次
pattern. : 2次
[d]its : 2次
preparing : 2次
kennedy, : 2次
rare : 2次
corruption : 2次
conviction : 2次
mcdonnell. : 2次
nose : 2次
ethics : 2次
accepting : 2次
gifts : 2次
automobile : 2次
“official : 2次
officials, : 2次
found. : 2次
favors : 2次
opening : 2次
proof : 2次
meeting, : 2次
event : 2次
act.” : 2次
favoritism : 2次
bureaucratic : 2次
underlying : 2次
roberts : 2次
citizens : 2次
gift. : 2次
standards, : 2次
premise : 2次
treatment : 2次
rests : 2次
individual. : 2次
favoritism. : 2次
contemptuous : 2次
conduct. : 2次
ethics. : 2次
breaking : 2次
qualified : 2次
awaken : 2次
access. : 2次
hopes : 2次
supportive. : 2次
box. : 2次
"a : 2次
tears : 2次
dickens's : 2次
monthly : 2次
,which : 2次
samuel : 2次
pickwick, : 2次
figure. : 2次
successfully : 2次
comic : 2次
club, : 2次
characters : 2次
obscure : 2次
england's : 2次
paternal : 2次
status, : 2次
servants, : 2次
background. : 2次
family's : 2次
blacking : 2次
mocked : 2次
imprisoned : 2次
debt. : 2次
factory : 2次
secret. : 2次
foundation : 2次
oliver : 2次
speakers : 2次
expands : 2次
predominance : 2次
fade : 2次
realistic : 2次
(47)his : 2次
self-contentedness : 2次
capabilities. : 2次
youngsters : 2次
alongside : 2次
introducing : 2次
primary-school : 2次
curriculum : 2次
schoolchildren : 2次
fluency : 2次
uk`s : 2次
sectors. : 2次
explores : 2次
english,a : 2次
else, : 2次
recommendation. : 2次
"li : 2次
address.(10 : 2次
y : 2次
_1_ : 2次
_2_ : 2次
marriage : 2次
investigates : 2次
lasted : 2次
8 : 2次
candle : 2次
happily : 2次
disapproval. : 2次
16 : 2次
jointly-acquired : 2次
up: : 2次
male : 2次
waiting : 2次
woman : 2次
[b]on : 2次
[d]for : 2次
[b]lest : 2次
[c]after : 2次
[c]from : 2次
[c]recite : 2次
[d]tying : 2次
[d]union : 2次
[d]live : 2次
[b]brought : 2次
[c]shows : 2次
[c]once : 2次
france, : 2次
fashion, : 2次
women. : 2次
ultra-thin : 2次
start. : 2次
starving : 2次
done. : 2次
tells : 2次
women, : 2次
worth. : 2次
intellect : 2次
dieting : 2次
size : 2次
regards : 2次
idealized : 2次
countries, : 2次
voluntary : 2次
models. : 2次
danish : 2次
charter : 2次
misuse : 2次
[a]new : 2次
on” : 2次
para.2) : 2次
industry’s : 2次
[b]a : 2次
curious : 2次
family, : 2次
stylish : 2次
specifically : 2次
leisure : 2次
